Temperatura;Humedad;VelViento;GDF;DiffusalF;Zona1
4.30;76.00;0.08;0.05;0.15;19983.80
4.51;74.60;0.08;0.06;0.13;18908.35
4.49;74.30;0.08;0.08;0.12;18167.09
4.36;72.30;0.08;0.07;0.12;18075.95
4.48;72.20;0.08;0.07;0.09;18063.80
4.58;71.00;0.08;0.07;0.10;18045.57
4.79;72.00;0.08;0.19;0.15;18385.82
4.81;73.10;0.08;0.96;0.95;18987.34
4.76;73.50;0.08;3.19;3.13;19576.71
4.51;74.50;0.08;6.64;6.49;19837.97
4.35;74.80;0.08;12.64;10.13;20166.08
4.72;73.70;0.08;58.97;17.00;20676.46
4.70;71.80;0.08;82.50;20.15;21296.20
4.62;74.10;0.08;106.90;22.55;22043.54
4.63;74.80;0.08;132.10;24.30;22651.14
4.60;74.00;0.08;156.10;26.90;23131.14
4.52;74.70;0.08;182.40;28.19;23641.52
4.58;74.50;0.08;208.80;29.20;24668.35
5.12;73.70;0.08;234.80;29.23;25275.95
5.84;71.30;2.66;257.90;31.01;25920.00
6.00;69.85;4.93;282.70;31.96;26393.92
6.22;68.81;4.92;307.00;32.42;26861.77
6.70;68.01;4.92;327.60;33.22;27511.90
6.99;66.14;4.92;349.60;33.41;28149.87
7.54;64.21;4.92;371.10;33.43;28714.94
8.22;61.90;4.92;388.20;33.89;29043.04
9.49;59.30;2.45;401.30;34.40;29261.77
10.65;56.03;0.08;419.50;35.29;29474.43
11.06;53.52;0.08;430.90;37.58;29523.04
12.40;53.26;0.08;437.50;43.46;29711.39
13.08;54.36;0.08;450.40;43.20;29644.56
14.38;54.42;0.08;470.50;37.92;29802.53
15.02;56.46;0.07;480.00;38.81;29887.59
15.55;58.70;0.08;486.10;39.46;30039.49
15.56;59.23;0.08;490.20;40.92;29966.58
15.49;59.30;0.08;495.90;40.90;29996.96
15.57;58.06;0.08;498.10;40.94;30258.23
15.65;58.70;0.08;498.10;42.75;30404.05
15.73;59.33;0.08;498.80;44.65;30094.18
15.68;58.60;0.08;497.00;44.26;30161.01
15.70;55.29;0.07;489.20;39.32;30318.99
15.75;52.45;0.08;482.40;38.65;30154.94
15.83;54.99;0.08;476.10;39.49;29984.81
15.79;56.66;0.08;467.70;39.94;30021.27
15.72;55.86;0.08;456.10;39.95;30021.27
15.80;54.06;0.08;449.20;41.52;29911.90
15.74;55.56;0.08;437.40;44.13;29747.85
15.72;56.69;0.08;422.00;43.87;29705.32
15.64;57.26;0.08;409.00;44.90;29571.65
15.69;57.96;0.07;391.80;46.89;29553.42
15.69;58.93;0.08;369.40;51.51;29383.29
15.60;58.70;0.07;321.00;57.14;29061.27
15.39;57.60;0.08;180.30;60.31;28885.06
15.34;58.70;0.08;149.50;67.85;28854.68
15.33;59.23;0.08;209.10;128.90;28836.46
15.48;57.46;0.07;265.10;219.10;28708.86
15.54;58.30;0.08;241.30;246.00;28556.96
15.53;58.80;0.08;219.00;248.10;28514.43
15.48;57.73;0.08;195.70;231.60;28666.33
15.47;58.23;0.08;174.90;211.90;29097.72
15.44;59.07;0.08;165.80;201.70;29723.54
15.35;59.30;0.08;132.00;163.00;30871.90
15.34;59.00;0.08;117.40;144.30;32700.76
15.11;59.53;0.08;97.60;120.60;35793.42
14.93;60.83;0.08;76.50;94.00;38321.01
14.71;61.87;0.09;26.51;28.08;39129.11
14.48;63.27;0.08;18.00;18.29;39560.51
14.29;63.94;0.08;6.99;7.02;39517.97
14.09;64.87;0.08;2.82;2.76;39596.96
13.89;66.11;0.08;0.81;0.89;39469.37
13.79;66.74;0.08;0.15;0.20;39682.03
13.54;66.71;0.08;0.06;0.09;39888.61
12.51;68.35;0.08;0.06;0.09;39991.90
12.06;70.20;0.08;0.07;0.10;40210.63
11.75;70.70;0.08;0.06;0.13;40216.71
11.61;70.70;0.08;0.08;0.13;40435.44
11.50;70.60;0.08;0.06;0.07;40514.43
11.43;70.70;0.08;0.05;0.09;40544.81
11.42;71.20;0.08;0.07;0.09;40283.54
11.69;71.10;0.08;0.09;0.10;40216.71
12.05;69.82;0.08;0.05;0.11;40477.97
11.87;69.98;0.08;0.05;0.09;40611.65
11.61;71.20;0.08;0.04;0.12;40435.44
11.50;72.00;0.08;0.07;0.08;40204.56
11.43;72.00;0.08;0.05;0.07;39584.81
11.29;72.20;0.08;0.05;0.12;39274.94
11.49;73.10;0.08;0.04;0.09;39141.27
12.24;70.10;0.08;0.07;0.09;38643.04
11.84;68.78;0.07;0.07;0.09;38011.14
12.20;68.78;0.07;0.07;0.12;37622.28
13.10;65.44;0.07;0.04;0.14;36953.92
13.20;63.84;0.07;0.08;0.09;36394.94
13.18;63.97;0.08;0.08;0.09;35289.11
12.64;66.77;0.07;0.04;0.14;34438.48
12.39;68.04;0.07;0.08;0.12;33678.99
12.24;69.18;0.08;0.06;0.12;33077.47
12.11;69.94;0.07;0.09;0.08;32117.47
12.07;70.70;0.08;0.03;0.08;31357.97
11.99;70.80;0.08;0.06;0.13;30701.77
11.32;74.70;0.08;0.07;0.10;29681.01
11.37;74.80;0.07;0.08;0.08;28830.38
11.41;74.10;0.08;0.08;0.12;27748.86
11.01;75.80;0.08;0.03;0.16;26703.80
10.74;77.30;0.08;0.08;0.11;26169.11
10.47;78.20;0.08;0.09;0.13;25622.28
10.31;79.20;0.08;0.09;0.13;24972.15
10.63;79.30;0.08;0.04;0.15;24437.47
10.84;78.40;0.07;0.06;0.16;23914.94
10.94;78.10;0.07;0.08;0.11;23629.37
11.12;77.90;0.07;0.06;0.15;23118.99
11.02;77.50;0.08;0.06;0.18;22736.20
10.50;78.90;0.08;0.07;0.15;22049.62
10.22;79.80;0.08;0.09;0.13;21855.19
10.42;81.30;0.08;0.07;0.13;21685.06
10.86;80.00;0.08;0.07;0.16;21533.16
11.17;77.30;0.08;0.07;0.13;21107.85
11.10;75.60;0.08;0.08;0.16;20986.33
11.14;75.00;0.08;0.07;0.16;20725.06
11.21;75.20;0.08;0.06;0.14;20889.11
10.71;77.40;0.08;0.07;0.15;20433.42
10.70;77.70;0.08;0.06;0.16;20372.66
10.58;78.60;0.08;0.06;0.14;20135.70
10.59;79.50;0.08;0.08;0.15;20129.62
10.68;79.40;0.08;0.06;0.16;20117.47
10.52;79.80;0.08;0.07;0.15;20087.09
10.34;80.60;0.08;0.09;0.12;19740.76
10.18;81.70;0.08;0.06;0.16;19831.90
10.41;82.30;0.07;0.08;0.13;19989.87
10.41;81.40;0.08;0.10;0.13;20166.08
10.39;81.50;0.07;0.09;0.12;20214.68
10.16;81.90;0.08;0.07;0.12;20141.77
9.97;82.80;0.08;0.07;0.18;20056.71
10.03;83.80;0.08;0.03;0.16;20257.22
9.98;83.00;0.08;0.07;0.12;20500.25
9.74;82.80;0.08;0.11;0.13;20712.91
9.54;83.70;0.08;0.08;0.17;20810.13
9.53;83.90;0.07;0.07;0.18;21041.01
9.56;84.10;0.07;0.08;0.13;21709.37
9.58;84.50;0.08;0.05;0.13;22742.28
9.44;84.10;0.08;0.07;0.15;22948.86
9.40;84.40;0.08;0.07;0.12;23258.73
9.38;84.60;0.08;0.04;0.14;23471.39
9.16;84.70;0.08;0.05;0.15;23653.67
9.06;85.60;0.08;0.06;0.14;23769.11
9.17;85.80;0.08;0.07;0.16;23380.25
9.46;86.20;0.08;0.07;0.15;23033.92
9.74;85.40;0.07;0.08;0.11;22803.04
9.80;84.40;0.08;0.08;0.12;23082.53
9.58;83.90;0.08;0.07;0.13;22803.04
9.51;83.70;0.08;0.08;0.14;22268.35
9.44;83.20;0.08;0.12;0.22;22742.28
9.18;82.50;0.08;0.87;0.89;23526.08
8.96;83.40;0.08;2.95;2.87;24340.25
8.71;83.90;0.08;6.66;6.47;24881.01
8.52;85.10;0.08;13.02;11.56;25190.89
8.43;85.40;0.08;39.10;19.49;25531.14
8.44;85.90;0.08;64.11;24.49;25980.76
8.69;86.70;0.08;92.30;27.88;23495.70
9.02;86.70;0.08;117.20;30.43;23629.37
9.17;86.90;0.08;134.70;33.24;24006.08
10.48;87.00;0.08;169.20;35.20;24771.65
11.13;83.50;0.08;194.00;36.92;25148.35
11.68;81.70;0.08;218.30;39.07;25518.99
12.22;78.00;0.08;246.60;40.01;25695.19
12.61;74.80;0.08;270.60;40.59;26351.39
13.07;72.70;0.08;288.30;42.31;26667.34
13.61;70.20;0.08;309.80;43.74;26794.94
14.00;69.22;0.08;337.20;43.39;27281.01
14.55;64.11;0.08;360.70;41.43;27645.57
14.94;58.46;0.08;381.40;41.13;27773.16
15.08;57.23;0.08;396.60;40.66;27894.68
15.18;55.83;0.08;410.80;41.23;28532.66
15.28;56.49;0.08;425.60;41.84;28818.23
15.27;55.93;0.08;440.20;41.83;28684.56
15.21;55.69;0.08;452.50;41.73;28939.75
15.18;57.20;0.08;460.50;42.38;29152.41
15.11;57.86;0.07;469.90;43.43;29674.94
15.10;58.33;0.08;476.20;43.25;29826.84
15.26;58.80;0.08;482.30;44.10;29905.82
15.15;60.87;0.08;485.10;44.53;29990.89
15.23;60.53;0.08;487.10;44.09;29966.58
15.22;60.20;0.08;487.60;44.43;29881.52
15.22;59.83;0.08;486.90;44.29;29760.00
15.33;59.16;0.08;484.10;43.72;29292.15
15.41;58.13;0.08;481.10;43.82;29140.25
15.43;58.00;0.08;477.20;43.68;28872.91
15.56;56.03;0.08;470.90;42.80;28672.41
15.59;55.73;0.08;463.40;42.58;28502.28
15.47;56.29;0.08;451.80;42.83;28684.56
15.55;55.99;0.07;441.90;41.88;28617.72
15.57;56.53;0.08;427.90;42.14;28635.95
15.64;55.35;0.08;413.90;41.50;28556.96
15.59;55.76;0.08;399.40;40.61;28721.01
15.58;57.03;0.08;381.10;42.48;28696.71
15.49;57.19;0.08;364.30;45.96;29049.11
15.45;57.86;0.08;345.80;57.35;29255.70
15.36;57.72;0.08;324.60;79.50;29012.66
15.38;58.02;0.07;302.90;121.30;29091.65
15.37;58.59;0.08;280.30;184.00;29030.89
15.23;59.76;0.08;260.60;238.00;29267.85
15.23;61.12;0.08;238.20;253.40;29480.51
15.24;61.63;0.08;216.80;248.10;30161.01
15.19;61.72;0.08;192.00;227.30;31011.65
15.17;61.76;0.08;165.50;200.60;31029.87
15.22;59.95;0.08;142.60;175.00;32390.89
15.17;61.92;0.08;119.90;148.20;33685.06
15.02;62.32;0.08;98.70;123.70;35659.75
14.90;61.82;0.08;77.50;98.60;38187.34
14.81;61.79;0.08;58.10;75.30;40648.10
14.68;62.05;0.08;22.40;25.24;41565.57
14.54;64.02;0.07;11.04;11.20;41644.56
14.38;64.55;0.08;6.50;6.52;41814.68
14.23;65.55;0.08;3.07;3.09;41766.08
14.11;65.79;0.08;0.93;0.95;41753.92
14.03;66.72;0.07;0.14;0.19;41808.61
13.95;67.52;0.07;0.04;0.12;41699.24
13.87;68.59;0.08;0.07;0.10;41280.00
13.74;69.46;0.07;0.08;0.09;41583.80
13.55;69.90;0.08;0.03;0.10;41851.14
13.43;69.86;0.08;0.04;0.11;41608.10
13.35;69.86;0.08;0.07;0.08;41395.44
13.20;70.50;0.08;0.06;0.12;41273.92
13.42;68.89;0.07;0.06;0.10;40939.75
13.55;68.12;0.08;0.06;0.07;41249.62
13.42;68.52;0.08;0.06;0.09;41316.46
13.30;69.03;0.08;0.06;0.09;41182.78
13.33;68.72;0.08;0.07;0.11;41061.27
13.45;68.59;0.08;0.07;0.12;40830.38
13.47;66.99;0.07;0.05;0.08;40830.38
13.29;66.99;0.08;0.05;0.07;40356.46
13.15;66.42;0.08;0.06;0.09;39797.47
13.03;66.62;0.07;0.07;0.09;39116.96
12.93;67.29;0.08;0.07;0.11;38564.05
12.88;67.46;0.08;0.05;0.12;38102.28
12.86;67.76;0.07;0.08;0.09;37792.41
12.87;67.96;0.08;0.07;0.13;37117.97
12.92;68.52;0.07;0.04;0.15;36218.73
12.96;68.62;0.08;0.10;0.06;35191.90
12.88;69.33;0.08;0.06;0.15;34754.43
12.77;69.86;0.08;0.11;0.10;33909.87
12.82;70.10;0.08;0.08;0.10;32785.82
12.75;70.40;0.07;0.05;0.15;31916.96
12.54;71.50;0.08;0.05;0.10;30252.15
12.23;72.90;0.08;0.06;0.11;29346.84
12.19;72.80;0.08;0.07;0.12;28593.42
12.31;72.60;0.07;0.04;0.15;27779.24
12.08;74.00;0.08;0.12;0.09;26661.27
12.16;74.00;0.07;0.07;0.14;26150.89
12.07;74.10;0.07;0.10;0.12;25433.92
11.48;76.80;0.08;0.07;0.15;24947.85
11.45;77.70;0.07;0.07;0.12;24540.76
11.80;76.60;0.08;0.02;0.23;23884.56
12.23;75.10;0.07;0.06;0.15;23422.78
12.39;71.00;0.08;0.06;0.15;23222.28
12.42;71.40;0.08;0.06;0.16;22766.58
12.40;71.50;0.08;0.06;0.16;22365.57
11.84;73.40;0.08;0.07;0.15;22098.23
11.51;73.00;0.08;0.04;0.15;21946.33
11.35;73.60;0.08;0.10;0.13;21691.14
11.27;73.80;0.08;0.06;0.16;21575.70
11.33;74.50;0.07;0.04;0.13;21502.78
11.44;75.00;0.08;0.08;0.12;21332.66
12.26;75.50;0.08;0.07;0.16;21059.24
13.08;70.90;0.08;0.06;0.17;21065.32
12.78;71.80;0.08;0.06;0.16;20980.25
12.34;73.20;0.08;0.09;0.15;20931.65
12.20;73.80;0.07;0.08;0.18;20658.23
12.04;74.70;0.08;0.08;0.13;20226.84
11.96;74.90;0.08;0.07;0.14;20220.76
11.92;75.20;0.08;0.06;0.18;20330.13
11.85;75.10;0.08;0.08;0.16;20202.53
11.66;75.50;0.08;0.07;0.16;19989.87
11.55;76.10;0.08;0.06;0.16;19989.87
11.60;75.10;0.08;0.07;0.14;20087.09
11.17;77.80;0.08;0.08;0.15;20129.62
10.83;78.50;0.08;0.07;0.15;20299.75
10.74;78.60;0.08;0.05;0.19;20390.89
10.57;80.30;0.08;0.04;0.15;20500.25
10.49;80.30;0.08;0.08;0.14;20755.44
10.69;81.60;0.08;0.07;0.07;20986.33
11.22;80.00;0.08;0.08;0.17;21454.18
11.36;77.90;0.08;0.06;0.17;22122.53
11.44;77.50;0.08;0.10;0.12;22954.94
11.49;76.70;0.07;0.08;0.16;23605.06
11.33;76.80;0.08;0.06;0.15;24255.19
11.16;77.30;0.08;0.05;0.16;24656.20
10.89;77.50;0.08;0.10;0.11;24552.91
10.27;80.20;0.08;0.08;0.15;24607.59
10.15;80.80;0.08;0.06;0.19;24534.68
10.00;81.60;0.08;0.06;0.15;24662.28
9.90;81.50;0.08;0.05;0.17;24534.68
9.67;81.60;0.08;0.08;0.15;24151.90
9.27;81.50;0.08;0.06;0.17;23811.65
9.03;81.80;0.08;0.07;0.12;23532.15
8.85;82.70;0.08;0.15;0.22;23884.56
8.68;83.10;0.08;0.83;0.85;24522.53
8.54;83.70;0.08;2.88;2.82;24874.94
8.38;84.90;0.08;6.31;6.12;25251.65
8.50;84.90;0.08;12.91;11.68;25871.39
8.48;85.70;0.08;38.00;20.54;26466.84
8.40;85.30;0.08;64.80;27.42;27135.19
8.51;85.50;0.08;85.30;33.31;27997.97
8.80;85.00;0.08;109.40;38.03;28107.34
9.09;84.10;0.08;135.30;40.00;28417.22
9.62;84.50;0.08;161.30;41.16;29085.57
10.89;85.90;0.09;191.60;40.65;29383.29
12.43;83.30;0.08;220.30;41.27;30057.72
13.02;77.50;0.08;245.90;42.92;30756.46
13.38;74.40;0.08;269.70;43.12;30932.66
13.64;73.20;0.08;294.90;43.18;31272.91
13.88;72.20;0.08;319.00;43.25;31844.05
14.16;72.30;0.08;339.30;43.08;32281.52
14.54;69.24;0.08;361.20;43.97;32749.37
14.75;67.10;0.08;380.30;44.96;32974.18
14.87;66.57;0.08;397.20;45.17;33004.56
15.00;65.10;0.08;413.40;44.82;33217.22
15.08;64.40;0.08;428.20;44.18;33332.66
15.18;64.23;0.08;440.50;45.02;33113.92
15.28;64.43;0.07;452.50;44.71;33168.61
15.19;63.60;0.07;462.80;45.04;33751.90
15.18;64.77;0.08;470.70;44.71;34019.24
15.21;65.33;0.08;478.00;45.15;34116.46
15.31;64.20;0.07;484.00;44.76;34468.86
15.35;63.13;0.07;488.80;44.76;34468.86
15.43;62.93;0.07;492.70;44.55;34341.27
15.39;62.90;0.07;493.30;44.78;33964.56
15.41;62.83;0.07;491.90;44.84;33502.78
15.57;62.70;0.08;490.10;44.76;33302.28
15.37;63.40;0.08;487.10;44.94;33356.96
15.49;63.46;0.08;480.40;45.25;33271.90
15.57;63.70;0.07;472.90;45.01;32627.85
15.48;63.76;0.08;465.80;44.23;32694.68
15.36;64.16;0.07;455.20;44.07;32366.58
15.35;64.19;0.07;443.90;43.33;32269.37
15.41;64.10;0.07;430.90;43.09;32293.67
15.36;65.23;0.08;415.40;43.03;32208.61
15.44;64.86;0.08;401.30;43.02;32251.14
15.48;64.10;0.08;385.40;45.37;32567.09
15.45;64.86;0.08;366.10;53.46;32366.58
15.44;64.93;0.07;348.40;72.70;32336.20
15.34;65.30;0.08;328.30;104.50;32257.22
15.30;65.83;0.08;306.70;155.70;31983.80
15.34;66.40;0.08;283.30;215.70;31777.22
15.34;66.83;0.07;259.90;256.60;31874.43
15.23;67.66;0.08;234.70;257.70;31740.76
15.18;67.73;0.08;208.80;240.70;32196.46
15.09;67.66;0.08;184.90;218.70;32263.29
14.96;66.19;0.08;160.40;193.20;32688.61
14.94;64.99;0.08;131.70;166.50;33241.52
14.89;65.45;0.07;115.70;142.40;34669.37
14.85;65.55;0.08;97.10;121.20;36200.51
14.78;65.82;0.08;77.80;98.60;39062.28
14.68;67.22;0.07;58.28;75.30;41486.58
14.51;68.26;0.08;26.56;31.14;42312.91
14.32;69.56;0.08;11.76;11.93;42495.19
14.14;70.90;0.08;6.80;6.89;42750.38
13.98;72.10;0.08;3.33;3.35;42871.90
13.86;73.00;0.07;1.01;1.09;42993.42
13.45;73.70;0.08;0.21;0.19;42823.29
12.20;77.30;0.08;0.06;0.12;42677.47
11.85;78.20;0.07;0.07;0.11;42434.43
11.53;79.00;0.08;0.07;0.09;42671.39
11.25;80.00;0.08;0.06;0.11;42720.00
11.12;80.50;0.07;0.07;0.12;42689.62
10.92;81.20;0.08;0.05;0.09;42476.96
10.93;81.30;0.08;0.06;0.07;42288.61
10.69;81.50;0.08;0.06;0.09;41960.51
10.39;81.50;0.08;0.09;0.09;42416.20
10.17;83.10;0.07;0.08;0.07;42519.49
10.03;82.90;0.08;0.08;0.10;42318.99
9.61;83.90;0.08;0.07;0.11;42221.77
9.71;84.20;0.08;0.06;0.10;42033.42
9.62;83.40;0.07;0.06;0.08;41571.65
9.49;83.50;0.07;0.04;0.11;40970.13
9.33;83.70;0.08;0.07;0.07;40490.13
9.23;83.90;0.07;0.06;0.10;39870.38
9.14;84.00;0.07;0.06;0.09;39347.85
9.11;83.80;0.07;0.08;0.08;38916.46
9.07;83.80;0.07;0.07;0.09;37962.53
9.00;83.90;0.07;0.05;0.11;37300.25
9.05;84.00;0.07;0.06;0.09;36565.06
8.98;83.60;0.07;0.06;0.06;35750.89
8.81;83.90;0.08;0.05;0.10;34535.70
8.72;84.00;0.08;0.06;0.12;33654.68
8.51;84.30;0.08;0.06;0.10;32457.72
8.52;85.00;0.08;0.07;0.08;31686.08
8.60;84.40;0.07;0.05;0.10;30847.59
8.49;84.50;0.08;0.04;0.16;30063.80
8.33;84.70;0.08;0.06;0.06;29298.23
8.50;84.70;0.07;0.08;0.06;28550.89
8.52;83.70;0.08;0.06;0.10;27657.72
8.63;83.50;0.07;0.04;0.11;27153.42
8.69;82.80;0.08;0.04;0.13;26442.53
8.77;82.30;0.08;0.06;0.08;26053.67
8.36;82.00;0.08;0.06;0.11;25525.06
8.17;82.70;0.08;0.06;0.11;24795.95
8.13;82.40;0.07;0.04;0.10;23975.70
8.14;82.30;0.07;0.07;0.09;23562.53
8.15;82.20;0.08;0.08;0.07;23179.75
8.33;82.20;0.08;0.06;0.08;23076.46
8.36;81.40;0.08;0.07;0.09;22918.48
8.23;80.70;0.08;0.06;0.09;22772.66
8.13;81.20;0.08;0.06;0.12;22450.63
8.04;81.20;0.08;0.07;0.12;22237.97
7.87;81.80;0.07;0.07;0.12;22086.08
7.91;81.80;0.08;0.07;0.11;21751.90
7.90;81.80;0.08;0.08;0.10;21770.13
7.88;81.60;0.08;0.08;0.13;21745.82
7.89;81.20;0.07;0.07;0.07;21569.62
7.94;81.20;0.07;0.06;0.13;21393.42
7.84;80.50;0.07;0.06;0.13;21229.37
7.59;80.40;0.08;0.07;0.12;21113.92
7.44;81.10;0.08;0.06;0.13;21363.04
7.59;81.00;0.08;0.04;0.11;21308.35
7.46;81.30;0.09;0.08;0.12;21120.00
6.99;82.50;0.09;0.08;0.11;21053.16
6.68;83.50;0.09;0.04;0.08;20378.73
6.45;84.10;0.09;0.06;0.11;19479.49
6.09;84.90;0.08;0.06;0.09;19746.84
5.88;85.90;0.08;0.06;0.11;19661.77
6.00;86.30;0.09;0.06;0.10;19746.84
5.90;86.70;0.09;0.06;0.12;20087.09
6.04;86.70;0.09;0.06;0.15;21533.16
5.98;86.80;0.09;0.08;0.12;21818.73
5.97;86.90;0.08;0.06;0.10;22049.62
6.03;87.10;0.09;0.08;0.14;22869.87
5.95;86.90;0.08;0.07;0.12;23696.20
5.80;86.90;0.09;0.07;0.09;23878.48
5.49;87.10;0.09;0.03;0.13;24309.87
5.35;87.10;0.08;0.05;0.15;24346.33
5.08;87.70;0.08;0.07;0.12;24716.96
5.29;88.30;0.09;0.03;0.13;24716.96
5.36;87.70;0.09;0.05;0.12;24972.15
5.39;87.80;0.09;0.05;0.11;24911.39
5.52;87.70;0.09;0.05;0.15;24443.54
5.58;87.40;0.09;0.07;0.14;24030.38
5.42;86.90;0.09;0.07;0.12;23763.04
5.34;86.70;0.09;0.11;0.12;23605.06
5.14;86.90;0.09;0.15;0.23;24066.84
5.01;87.20;0.09;0.88;0.82;24637.97
5.10;87.40;0.08;2.91;2.80;24990.38
4.92;87.50;0.09;6.46;6.28;25482.53
4.78;87.70;0.09;13.90;12.28;26041.52
4.87;87.80;0.09;47.75;22.59;26472.91
4.87;87.20;0.09;70.50;26.46;26849.62
5.01;86.90;0.08;92.60;31.27;27706.33
5.07;86.60;0.09;118.00;34.10;28441.52
5.22;86.30;0.09;145.10;34.58;28891.14
5.54;85.90;0.09;170.90;36.58;29122.03
5.74;84.70;0.09;196.10;37.53;28599.49
6.00;84.10;0.09;220.30;39.42;29122.03
6.27;83.00;0.09;248.30;39.09;29134.18
6.59;81.60;0.09;272.80;39.92;29899.75
6.93;81.20;0.09;297.30;40.57;30507.34
7.22;81.20;0.09;320.50;40.40;30932.66
7.54;81.00;0.09;343.30;39.40;31266.84
8.01;79.80;0.09;354.40;40.51;31485.57
8.57;79.00;0.09;384.70;40.30;31777.22
9.04;78.50;0.09;402.80;39.82;32111.39
9.60;77.30;0.09;420.10;39.15;32615.70
10.14;75.60;0.09;436.20;38.96;34444.56
10.80;73.50;0.09;451.60;37.73;34438.48
11.47;70.10;0.09;466.40;37.49;33873.42
12.00;67.75;0.09;477.00;37.37;33988.86
12.60;66.24;0.09;485.70;36.72;34158.99
13.19;65.44;0.09;492.70;36.75;34444.56
13.66;65.01;0.09;499.70;37.17;34256.20
13.92;63.81;0.09;503.90;37.24;34116.46
14.41;63.77;0.08;505.90;36.35;33855.19
14.86;61.60;0.09;508.40;36.78;33703.29
15.34;60.20;0.09;506.60;37.02;33593.92
16.13;58.43;0.09;503.50;38.74;33180.76
16.38;55.89;0.08;501.00;42.75;32870.89
17.05;55.46;0.09;486.70;45.15;32810.13
17.65;53.72;0.08;485.90;38.87;32676.46
17.55;50.78;0.08;468.60;43.49;32433.42
17.43;50.65;0.08;458.10;45.03;32342.28
17.40;53.26;0.08;448.20;46.62;32506.33
17.42;53.72;0.08;430.70;47.20;32706.84
17.49;56.59;0.08;418.20;45.45;32488.10
17.33;57.36;0.08;409.70;44.91;32475.95
17.23;59.17;0.08;391.10;50.26;32591.39
17.40;59.07;0.08;373.10;66.11;32336.20
17.38;59.60;0.08;354.90;96.90;32220.76
17.24;60.40;0.07;335.50;141.60;32293.67
17.07;61.20;0.07;314.50;199.90;31983.80
17.09;61.80;0.07;291.00;254.40;31552.41
17.30;61.47;0.08;266.40;281.10;31406.58
17.26;61.17;0.08;229.80;260.80;31613.16
17.36;61.04;0.08;211.40;249.60;31692.15
17.60;60.67;0.08;189.10;227.10;31752.91
17.57;59.83;0.08;160.30;195.40;31673.92
17.57;60.33;0.08;134.80;165.70;32166.08
17.24;61.83;0.07;112.00;138.90;33277.97
16.89;63.50;0.08;88.00;109.50;35513.92
16.35;66.23;0.07;71.10;89.70;38339.24
15.84;67.87;0.07;52.73;67.32;41182.78
15.44;69.54;0.07;27.54;32.70;42179.24
14.98;71.10;0.08;11.43;11.56;42938.73
14.57;72.30;0.08;7.03;7.05;43309.37
14.13;73.20;0.08;3.53;3.55;43485.57
13.22;75.60;0.08;1.14;1.22;43133.16
12.87;76.70;0.07;0.18;0.28;43242.53
12.43;77.40;0.07;0.11;0.09;43187.85
12.21;77.60;0.07;0.05;0.10;43163.54
12.06;78.10;0.08;0.04;0.09;43145.32
12.26;79.80;0.09;0.11;0.09;43388.35
13.39;79.20;0.09;0.11;0.08;42592.41
13.83;71.80;0.09;0.05;0.09;42203.54
13.83;67.63;0.09;0.07;0.07;42397.97
13.80;66.70;0.09;0.10;0.08;42197.47
13.72;66.66;0.09;0.08;0.11;42501.27
13.55;67.73;0.09;0.07;0.09;42774.68
13.44;68.20;0.08;0.04;0.10;42653.16
13.32;68.83;0.09;0.04;0.09;42337.22
